,mandates, CREDIT
0,100398324047,1.0
1,100399164552,62500.0
2,100399409615,6250.0
3,100399548879,1.0
4,100399548898,1.0
5,100401859747,12500.0
6,100402140468,12500.0
7,100402143589,12500.0
8,100402546642,12500.0
9,100402566159,31250.0
10,100402932445,62500.0
11,100404354952,62500.0
12,100404566746,37500.0
13,100405627748,12500.0
14,100405934832,31250.0
15,100406317354,12500.0
16,100406388761,12500.0
17,100407414486,7500.0
18,100407774228,25000.0
19,100407858751,78750.0
20,100408109824,25000.0
21,100408194855,50000.0
22,100408682746,8750.0
23,100408722926,16250.0
24,100408837550,7500.0
25,100409043224,28750.0
26,100409640152,25000.0
27,100409673133,21250.0
28,100409686625,42500.0
29,100410050022,18257.45
30,100410096377,51250.0
31,100410427419,16250.0
32,100410677074,8750.0
33,100410805694,10500.0
34,100410813991,11250.0
35,100411908714,56250.0
36,100412268767,42500.0
37,100412328950,13750.0
38,100412489580,12500.0
39,100412607786,13750.0
40,100412864592,3750.0
41,100412952956,7500.0
42,100413373569,18750.0
43,100413543835,22500.0
44,100415198808,8750.0
45,100415723198,8750.0
46,100416649027,12500.0
47,100416976571,11250.0
48,100417135913,37500.0
49,100417146775,8750.0
50,100417148595,42500.0
51,100417539532,5000.0
52,100418233470,3750.0
53,100418359308,107500.0
54,100418359817,10000.0
55,100418483925,6250.0
56,100418731242,37500.0
57,100418900937,16250.0
58,100419132677,26250.0
59,100419263178,6250.0
60,100421678208,16250.0
61,100422582375,10000.0
62,100422582460,8750.0
63,100422690351,16250.0
64,100422700454,162500.0
65,100422893650,6250.0
66,100423336086,10000.0
67,100423562833,3750.0
68,100423563451,13750.0
69,100423564059,5000.0
70,100423917810,18750.0
71,100424283732,10000.0
72,100424285670,7500.0
73,100424567033,1515.84
74,100424603385,15000.0
75,100424776215,18750.0
76,100428954029,28600.0
77,100429143133,28600.0
78,100429158761,33800.0
79,100429192425,9100.0
80,100429329112,11700.0
81,100429415077,11700.0
82,100429441509,195000.0
83,100429664665,10400.0
84,100429707146,44200.0
85,100430223893,9100.0
